"NodeAid","NodeAType","NodeBid","NodeBType","distance","isLOS","pathLoss","maxPathLoss","bitrate","maxbitrate","isAssignable","sarDL","sarUL","status","amc","rbused"
"29","EDGE","31","EDGE","119.14765859862771","true","109.23806055286724","112.48026179472768","0.0","2695.0","true","0.0","0.0","INIT","10","0"
"31","EDGE","29","EDGE","119.14765859862771","true","109.23806055286724","112.48026179472768","0.0","2695.0","true","0.0","0.0","INIT","10","0"
"28","EDGE","30","EDGE","344.59357243994094","true","118.46249375567598","124.38026179472769","0.0","385.0","true","0.0","0.0","INIT","0","0"
"30","EDGE","28","EDGE","344.59357243994094","true","118.46249375567598","124.38026179472769","0.0","385.0","true","0.0","0.0","INIT","0","0"
"41","EDGE","47","EDGE","127.0426464043286","true","109.79534094407197","113.48026179472768","0.0","2503.0","true","0.0","0.0","INIT","9","0"
"47","EDGE","41","EDGE","127.0426464043286","true","109.79534094407197","113.48026179472768","0.0","2503.0","true","0.0","0.0","INIT","9","0"
"14","EDGE","39","EDGE","57.550669005722995","true","102.91735783642861","103.48026179472768","0.0","5390.0","true","0.0","0.0","INIT","15","0"
"39","EDGE","14","EDGE","57.550669005722995","true","102.91735783642861","103.48026179472768","0.0","5390.0","true","0.0","0.0","INIT","15","0"
"14","EDGE","46","EDGE","258.2044718584351","true","115.9556254975426","120.98026179472768","0.0","962.0","true","0.0","0.0","INIT","2","0"
"46","EDGE","14","EDGE","258.2044718584351","true","115.9556254975426","120.98026179472768","0.0","962.0","true","0.0","0.0","INIT","2","0"
"26","EDGE","50","EDGE","163.19884098665997","true","111.9706917089075","117.48026179472768","0.0","1348.0","true","0.0","0.0","INIT","5","0"
"50","EDGE","26","EDGE","163.19884098665997","true","111.9706917089075","117.48026179472768","0.0","1348.0","true","0.0","0.0","INIT","5","0"
"26","EDGE","37","EDGE","516.1375196763871","true","121.97165891546607","124.38026179472769","0.0","385.0","true","0.0","0.0","INIT","0","0"
"37","EDGE","26","EDGE","516.1375196763871","true","121.97165891546607","124.38026179472769","0.0","385.0","true","0.0","0.0","INIT","0","0"
"32","EDGE","36","EDGE","82.06776826525189","true","105.99980277550048","107.48026179472768","0.0","3850.0","true","0.0","0.0","INIT","12","0"
"36","EDGE","32","EDGE","82.06776826525189","true","105.99980277550048","107.48026179472768","0.0","3850.0","true","0.0","0.0","INIT","12","0"
"33","EDGE","41","EDGE","166.6093643178078","true","112.15033845376726","117.48026179472768","0.0","1348.0","true","0.0","0.0","INIT","5","0"
"41","EDGE","33","EDGE","166.6093643178078","true","112.15033845376726","117.48026179472768","0.0","1348.0","true","0.0","0.0","INIT","5","0"
