"id","x (m)","y (m)","z (m)","power","max_power","is_active","BR_Served","max_distance","supported_tech","connectedUsers","servedTraffic","BSType","RoutetoPoP","HopCount"
"0","151374.0","189133.0","14.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","POP","","2147483647"
"1","152128.06246202491","189024.91045660852","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","","2147483647"
"2","151265.34994820578","189175.62342113932","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-2-","1"
"3","152046.8771872699","189125.518194962","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","","2147483647"
"4","151356.11429422232","189146.0523137729","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-4-","1"
"5","152022.0167494135","189900.41398640824","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","","2147483647"
"6","152080.98827419296","189986.51734601465","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","","2147483647"
"7","151885.36501351834","189917.22493857815","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","","2147483647"
"8","150970.79728083388","189139.05811202852","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","","2147483647"
"9","150980.0464390192","189138.07917222354","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","","2147483647"
"10","151899.44110666832","189716.25059936332","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","","2147483647"
"11","152119.8567324477","189832.4721769894","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","","2147483647"
"12","151614.34597209687","189545.60506521625","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","","2147483647"
"13","151953.75067670087","189778.32022317537","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","","2147483647"
"14","152102.49342697658","189027.80116314482","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","","2147483647"
"15","152135.74222042004","189057.44073823365","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","","2147483647"
"16","151797.07057633717","189582.34949631075","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","","2147483647"
"17","151395.48650194274","189167.67885977656","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-17-","1"
"18","152187.80913634264","189149.0030525625","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","","2147483647"
"19","151400.15041641323","189137.07317776803","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-19-","1"
"20","151241.2629672517","189183.57166629226","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-20-","1"
"21","151931.34983577894","189769.3168394632","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","","2147483647"
"22","151156.8896763306","189191.33377077233","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-2-22-","2"
"23","152012.05978106224","189932.52212203358","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","","2147483647"
"24","151051.77020022564","189253.06892411062","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","","2147483647"
"25","150993.04596470343","189131.76411709483","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","","2147483647"
"26","151887.19477018336","189696.7951614562","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","","2147483647"
"27","152054.42324044372","189109.54241290837","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","","2147483647"
"28","151372.04766294645","189149.26992926563","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-28-","1"
"29","152042.8049644887","189873.40353238586","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","","2147483647"
"30","151809.99667403722","189089.23970453447","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","","2147483647"
"31","152018.63716373814","190055.06733924386","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","","2147483647"
"32","152045.5190387294","189887.5826336875","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","","2147483647"
"33","151896.81555369333","189930.44314833285","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","","2147483647"
"34","152207.34051157397","189160.0630963121","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","","2147483647"
"35","151199.18220182063","189186.43297510446","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-35-","1"
"36","151769.34885990256","189571.29473306303","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","","2147483647"
"37","150937.46483245608","189124.8134676387","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","","2147483647"
"38","152174.58040784302","189813.56724891576","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","","2147483647"
"39","151667.26817508967","189553.74089297804","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","","2147483647"
"40","151386.79963918103","189149.4218939021","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-40-","1"
"41","151384.560909594","189144.60670541035","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-41-","1"
"42","152159.66939795666","189814.48471193365","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","","2147483647"
"43","151054.18503226826","189147.91234217823","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-20-43-","2"
"44","150951.74879234596","189133.83027277648","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","","2147483647"
"45","152205.6128698639","189187.90338298908","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","","2147483647"
"46","151089.7562767032","189154.9164477778","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-2-46-","2"
"47","151375.30097951184","189175.68956167303","3.12","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-47-","1"
"48","152045.18719627714","189906.16812734146","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","","2147483647"
"49","151219.28992918466","189185.35831300874","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-49-","1"
"50","151105.21247354607","189168.40247345497","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-2-50-","2"
