"NodeAid","NodeAType","NodeBid","NodeBType","distance","isLOS","pathLoss","maxPathLoss","bitrate","maxbitrate","isAssignable","sarDL","sarUL","status","amc","rbused"
"6","EDGE","36","EDGE","2.32671925526142","true","75.05122998528617","95.98026179472768","0.0","8085.0","true","0.0","0.0","INIT","20","0"
"36","EDGE","6","EDGE","2.32671925526142","true","75.05122998528617","95.98026179472768","0.0","8085.0","true","0.0","0.0","INIT","20","0"
"5","EDGE","11","EDGE","23.217085517854844","true","95.03250432746614","95.98026179472768","0.0","8085.0","true","0.0","0.0","INIT","20","0"
"11","EDGE","5","EDGE","23.217085517854844","true","95.03250432746614","95.98026179472768","0.0","8085.0","true","0.0","0.0","INIT","20","0"
"0","PoP","17","EDGE","50.35023107550964","true","101.75637966678693","103.48026179472768","0.0","5390.0","true","0.0","0.0","INIT","15","0"
"17","EDGE","0","PoP","50.35023107550964","true","101.75637966678693","103.48026179472768","0.0","5390.0","true","0.0","0.0","INIT","15","0"
"0","PoP","14","EDGE","81.41157480536705","true","105.93007342037836","107.48026179472768","0.0","3850.0","true","0.0","0.0","INIT","12","0"
"14","EDGE","0","PoP","81.41157480536705","true","105.93007342037836","107.48026179472768","0.0","3850.0","true","0.0","0.0","INIT","12","0"
"21","EDGE","49","EDGE","269.2435371367492","true","116.3192560538971","120.98026179472768","0.0","962.0","true","0.0","0.0","INIT","2","0"
"49","EDGE","21","EDGE","269.2435371367492","true","116.3192560538971","120.98026179472768","0.0","962.0","true","0.0","0.0","INIT","2","0"
"3","EDGE","26","EDGE","254.6549480096364","true","115.83539268710044","120.98026179472768","0.0","962.0","true","0.0","0.0","INIT","2","0"
"26","EDGE","3","EDGE","254.6549480096364","true","115.83539268710044","120.98026179472768","0.0","962.0","true","0.0","0.0","INIT","2","0"
"2","EDGE","3","EDGE","326.8698766333634","true","118.00384828864048","122.48026179472768","0.0","770.0","true","0.0","0.0","INIT","1","0"
"3","EDGE","2","EDGE","326.8698766333634","true","118.00384828864048","122.48026179472768","0.0","770.0","true","0.0","0.0","INIT","1","0"
